id,judul,tanggal,kkks,bidangUsaha,batasWaktu,url,attachmentUrl,attachmentName
"b9fef39a-6d2f-4f97-a283-f7e49d859c0d","Jasa Sewa Vacuum Truck dan Peralatan Berat termasuk Pengemudi dan Swamper Selama 12 (Dua Belas) bln","16 Apr 2025","PT BUMI SIAK PUSAKO","AKTIVITAS PENYEWAAN DAN SEWA GUNA USAHA TANPA HAK OPSI MOBIL, BUS, TRUK DAN SEJENISNYA (SIUP-IUT-IUI-PROP KBLI 2020);","16 Apr 2025","b9fef39a-6d2f-4f97-a283-f7e49d859c0d","/download/tnd/ann.jwebs;jsessionid=036CFCF9EB427D74D7591E05E1684B3C","11042025143956-0001.pdf"
"6d8c2b57-570d-4157-bfe8-65166ad81ddd","BG70297 : FLOWMETER KROHNE","17 Apr 2025","PT MEDCO E&P INDONESIA","PERDAGANGAN BESAR MESIN, PERALATAN DAN PERLENGKAPAN LAINNYA (SIUP-IUT-IUI-PROP KBLI 2020); INDUSTRI ALAT UKUR, ALAT UJI, PERALATAN NAVIGASI DAN KONTROL (SIUP-IUT-IUI-PROP KBLI 2020);","17 Apr 2025","6d8c2b57-570d-4157-bfe8-65166ad81ddd","/download/tnd/ann.jwebs;jsessionid=036CFCF9EB427D74D7591E05E1684B3C","BG70297.pdf"
"2b451ec9-d9ea-42b9-b6cc-9f2eb2bbe357","Upgrading Oracle JD Edwards to Version 9.2","16 Apr 2025","PETROCHINA INTERNATIONAL JABUNG LTD.","AKTIVITAS JASA PERORANGAN LAINNYA YTDL (SIUP-IUT-IUI-PROP KBLI 2020);","16 Apr 2025","2b451ec9-d9ea-42b9-b6cc-9f2eb2bbe357","/download/tnd/ann.jwebs;jsessionid=036CFCF9EB427D74D7591E05E1684B3C","PCJ-3816-CA Announcement in CIVD_Upgrading Oracle JD Edwards to version 9.2.pdf"
"ac6e3a1e-5a40-4387-9125-d7cf6c7b9684",""HUAWEI" WIFI SYSTEM","16 Apr 2025","PETROCHINA INTERNATIONAL JABUNG LTD.","PERDAGANGAN ECERAN KOMPUTER DAN PERLENGKAPANNYA (SIUP-IUT-IUI-PROP KBLI 2020);","16 Apr 2025","ac6e3a1e-5a40-4387-9125-d7cf6c7b9684","/download/tnd/ann.jwebs;jsessionid=036CFCF9EB427D74D7591E05E1684B3C","D810-PR80_'HUAWEI' WIFI SYSTEM_Announcement in CIVD.pdf"
"626242a2-19b4-453e-a8e4-31b64de7ea89","PENYEDIAAN JASA PENGAWASAN KONSTRUKSI SURFACE FACILITY PT PERTAMINA EP ZONA 4","15 Apr 2025","PERTAMINA HULU ENERGI WMO","AKTIVITAS KEINSINYURAN DAN KONSULTASI TEKNIS YBDI (SIUP-IUT-IUI-PROP KBLI 2020); AKTIVITAS KONSULTASI MANAJEMEN LAINNYA (SIUP-IUT-IUI-PROP KBLI 2020); AKTIVITAS PROFESIONAL, ILMIAH DAN TEKNIS LAINNYA YTDL (SIUP-IUT-IUI-PROP KBLI 2020);","15 Apr 2025","626242a2-19b4-453e-a8e4-31b64de7ea89","/download/tnd/ann.jwebs;jsessionid=F79EC5A0137B4DEB6365EE9FA7B1F031","1.pdf"
"ac878148-da14-4acc-a7fa-72f58fd5cfd6","JASA SEWA EARLY PRODUCTION FACILITIES DAN INSTALASI UNTUK WILAYAH KERJA AREA 1 PERTAMINA ZONA 4","16 Apr 2025","PERTAMINA HULU ENERGI WMO","AKTIVITAS PENUNJANG PERTAMBANGAN MINYAK BUMI DAN GAS ALAM (SIUP-IUT-IUI-PROP KBLI 2020); AKTIVITAS PENYEWAAN DAN SEWA GUNA USAHA TANPA HAK OPSI MESIN, PERALATAN DAN BARANG BERWUJUD LAINNYA (SIUP-IUT-IUI-PROP KBLI 2020);","16 Apr 2025","ac878148-da14-4acc-a7fa-72f58fd5cfd6","/download/tnd/ann.jwebs;jsessionid=F79EC5A0137B4DEB6365EE9FA7B1F031","PENGUMUMAN PRAKUALIFIKASI.pdf"
"b1b112e8-1d98-4977-be56-c6f292baeac7","Prakualifikasi No. GX14049172A : Pengadaan Various Electrical Parts","16 Apr 2025","PT PERTAMINA HULU MAHAKAM","PERDAGANGAN BESAR MESIN, PERALATAN DAN PERLENGKAPAN PERTANIAN (SIUP-IUT-IUI-PROP KBLI 2020); PERDAGANGAN BESAR BERBAGAI MACAM BARANG (SIUP-IUT-IUI-PROP KBLI 2020);","16 Apr 2025","b1b112e8-1d98-4977-be56-c6f292baeac7","/download/tnd/ann.jwebs;jsessionid=F79EC5A0137B4DEB6365EE9FA7B1F031","GX14049172A - C.01.06.S. Pengumuman Prakualifikasi.pdf"
"96515cb9-293f-4c68-ab0d-12ac715e33fd","Time Charter of High Speed Crew Boat Services","16 Apr 2025","PETROCHINA INTERNATIONAL JABUNG LTD.","ANGKUTAN LAUT (SIUP-IUT-IUI-PROP KBLI 2020);","16 Apr 2025","96515cb9-293f-4c68-ab0d-12ac715e33fd","/download/tnd/ann.jwebs;jsessionid=F79EC5A0137B4DEB6365EE9FA7B1F031","PCJ-3815-CA PQ Invitation Announcement.pdf"
"b76d8467-c4fa-4917-a144-810a6589c3b0","Prakualifikasi No. GX14049454A : PENGADAAN VENT KO DRUM PUMP (PR-19201) UNTUK BKP BJ REACTIVATION","15 Apr 2025","PT PERTAMINA HULU MAHAKAM","INDUSTRI POMPA LAINNYA, KOMPRESOR, KRAN DAN KLEP/KATUP (SIUP-IUT-IUI-PROP KBLI 2020);","15 Apr 2025","b76d8467-c4fa-4917-a144-810a6589c3b0","/download/tnd/ann.jwebs;jsessionid=F79EC5A0137B4DEB6365EE9FA7B1F031","FOR SIGN GX14049454A C.01.06.S. Pengumuman Prakualifikasi.pdf"
"39b649f5-f779-467c-a9f7-8da5c8c8475a","PQ 299 - Provision of Fishing Equipment Rental and Services","15 Apr 2025","PC KETAPANG II LTD","AKTIVITAS PENUNJANG PERTAMBANGAN MINYAK BUMI DAN GAS ALAM (SIUP-IUT-IUI-PROP KBLI 2020);","15 Apr 2025","39b649f5-f779-467c-a9f7-8da5c8c8475a","/download/tnd/ann.jwebs;jsessionid=F79EC5A0137B4DEB6365EE9FA7B1F031","PQ Invitation_Fishing No. 299.pdf"
"b726da97-bb49-4053-b66a-a508caf3e0ce","Drilling Manpower Services","15 Apr 2025","PETROCHINA INTERNATIONAL JABUNG LTD.","AKTIVITAS JASA PERORANGAN LAINNYA YTDL (SIUP-IUT-IUI-PROP KBLI 2020);","15 Apr 2025","b726da97-bb49-4053-b66a-a508caf3e0ce","/download/tnd/ann.jwebs;jsessionid=2273CB307F30457B85E756475856506D","PQ Invitation Announcement in CIVD_PCJ3817CA DRILLING MANPOWER SERVICES.pdf"
"58327025-10bf-488e-aecc-0299bb8725cf","Provision of Independent Safety and Environmental (ISE) Consultancy Services (Prakualifikasi Ulang)","15 Apr 2025","PREMIER OIL NATUNA SEA B.V.","AKTIVITAS KONSULTASI MANAJEMEN LAINNYA (SIUP-IUT-IUI-PROP KBLI 2020); AKTIVITAS PROFESIONAL, ILMIAH DAN TEKNIS LAINNYA YTDL (SIUP-IUT-IUI-PROP KBLI 2020); AKTIVITAS PENUNJANG PERTAMBANGAN MINYAK BUMI DAN GAS ALAM (SIUP-IUT-IUI-PROP KBLI 2020);","15 Apr 2025","58327025-10bf-488e-aecc-0299bb8725cf","/download/tnd/ann.jwebs;jsessionid=2273CB307F30457B85E756475856506D","PQ Adv ISE R2.pdf"
"e56e5229-d077-4ddb-9b33-7cf73cf25956","Prakualifikasi No. GX14049572A : Provision of Casing 7" SML, P110, 32 PPF, PSL 2, R3, Premium","15 Apr 2025","PT PERTAMINA HULU MAHAKAM","AKTIVITAS PENUNJANG PERTAMBANGAN MINYAK BUMI DAN GAS ALAM (SIUP-IUT-IUI-PROP KBLI 2020); PERDAGANGAN BESAR MESIN, PERALATAN DAN PERLENGKAPAN LAINNYA (SIUP-IUT-IUI-PROP KBLI 2020); INDUSTRI PENEMPAAN, PENGEPRESAN, PENCETAKAN DAN PEMBENTUKAN LOGAM; METALURGI BUBUK (SIUP-IUT-IUI-PROP KBLI 2020); JASA INDUSTRI UNTUK BERBAGAI PENGERJAAN KHUSUS LOGAM DAN BARANG DARI LOGAM (SIUP-IUT-IUI-PROP KBLI 2020); INDUSTRI PIPA DAN SAMBUNGAN PIPA DARI BAJA DAN BESI (SIUP-IUT-IUI-PROP KBLI 2020); PERDAGANGAN BESAR BARANG LOGAM UNTUK BAHAN KONSTRUKSI (SIUP-IUT-IUI-PROP KBLI 2020);","15 Apr 2025","e56e5229-d077-4ddb-9b33-7cf73cf25956","/download/tnd/ann.jwebs;jsessionid=2273CB307F30457B85E756475856506D","01. Signed_GX14049572A_C.01.06.S. Pengumuman Prakualifikasi.pdf"
"ae4dd6b9-29e4-488a-8eab-f330c6ed96b6","Prakualifikasi No. SX04049051B: Jasa Pekerjaan Technical Services Subsurface and Surface Asset","16 Apr 2025","PT PERTAMINA HULU MAHAKAM","AKTIVITAS KONSULTASI MANAJEMEN LAINNYA (SIUP-IUT-IUI-PROP KBLI 2020); AKTIVITAS PENGOLAHAN DATA, HOSTING DAN KEGIATAN YBDI; PORTAL WEB (SIUP-IUT-IUI-PROP KBLI 2020); AKTIVITAS PENGOLAHAN DATA (SIUP-IUT-IUI-PROP KBLI 2020); AKTIVITAS KONSULTASI MANAJEMEN (SIUP-IUT-IUI-PROP KBLI 2020);","16 Apr 2025","ae4dd6b9-29e4-488a-8eab-f330c6ed96b6","/download/tnd/ann.jwebs;jsessionid=2273CB307F30457B85E756475856506D","C.01.06.S. Pengumuman Prakualifikasi_SX04049051B.pdf"
"96a082d8-467d-4cfb-8dc5-bf63dbebc83a","JASA PERBAIKAN KUALITAS MINYAK DAN AIR MENGGUNAKAN CHEMICAL TREATMENT DI PT PERTAMINA EP JAMBI FIELD","15 Apr 2025","PERTAMINA HULU ENERGI WMO","INDUSTRI KIMIA DASAR ORGANIK YANG MENGHASILKAN BAHAN KIMIA KHUSUS (SIUP-IUT-IUI-PROP KBLI 2020); INDUSTRI BARANG KIMIA LAINNYA YTDL (SIUP-IUT-IUI-PROP KBLI 2020);","15 Apr 2025","96a082d8-467d-4cfb-8dc5-bf63dbebc83a","/download/tnd/ann.jwebs;jsessionid=2273CB307F30457B85E756475856506D","Pengumuman Prakualifikasi-SX07049252A.pdf"
"7be33b11-0058-421d-8818-c6b791c57994","PENYEDIAAN JASA TENAGA AHLI DAN SUPPORT SERVICES FUNGSI DRILLING DI WILAYAH KERJA ZONA 1","15 Apr 2025","PERTAMINA HULU ENERGI WMO","AKTIVITAS PENYEDIAAN TENAGA KERJA WAKTU TERTENTU (SIUP-IUT-IUI-PROP KBLI 2020); PENYEDIAAN SUMBER DAYA MANUSIA DAN MANAJEMEN FUNGSI SUMBER DAYA MANUSIA (SIUP-IUT-IUI-PROP KBLI 2020);","15 Apr 2025","7be33b11-0058-421d-8818-c6b791c57994","/download/tnd/ann.jwebs;jsessionid=2273CB307F30457B85E756475856506D","Pengumuman Prakualifikasi-SX07049185A.pdf"
"ca8c5378-277a-43a4-a41b-24ca9331e681","BS70299 : FILTER ELEMENT","16 Apr 2025","PT MEDCO E&P INDONESIA","PERDAGANGAN BESAR MESIN, PERALATAN DAN PERLENGKAPAN LAINNYA (SIUP-IUT-IUI-PROP KBLI 2020);","16 Apr 2025","ca8c5378-277a-43a4-a41b-24ca9331e681","/download/tnd/ann.jwebs;jsessionid=B66F02974BB98A66F6B0AB9A6038685C","BS70299 (9 April 2025).pdf"
"3a22eee4-e8d0-41b6-92ff-8f654b22101e","BG70290 : PENGADAAN POLYE REFRIGERATION OIL","16 Apr 2025","PT MEDCO E&P INDONESIA","PERDAGANGAN BESAR BAHAN BAKAR PADAT, CAIR DAN GAS DAN PRODUK YBDI (SIUP-IUT-IUI-PROP KBLI 2020);","16 Apr 2025","3a22eee4-e8d0-41b6-92ff-8f654b22101e","/download/tnd/ann.jwebs;jsessionid=B66F02974BB98A66F6B0AB9A6038685C","BG70290.pdf"
"9cb8a5f5-868a-4d2a-8142-95d804163218","CS69949 : RENTAL 350HP WOWS RIG FOR RIMAU","16 Apr 2025","PT MEDCO E&P INDONESIA","AKTIVITAS PENUNJANG PERTAMBANGAN MINYAK BUMI DAN GAS ALAM (SIUP-IUT-IUI-PROP KBLI 2020);","16 Apr 2025","9cb8a5f5-868a-4d2a-8142-95d804163218","/download/tnd/ann.jwebs;jsessionid=B66F02974BB98A66F6B0AB9A6038685C","CS69949 - 9 April 2025.pdf"
"f9a7489d-66d5-4c33-82a1-34fc9863ed7d","FLOWLINE CONSTRUCTION & EARLY PRODUCTION FACILITIES (EPF) RENTAL SERVICES CLUSTER 4","14 Apr 2025","Texcal Energy Mahato Inc.","AKTIVITAS PENUNJANG PERTAMBANGAN MINYAK BUMI DAN GAS ALAM (SIUP-IUT-IUI-PROP KBLI 2020);","14 Apr 2025","f9a7489d-66d5-4c33-82a1-34fc9863ed7d","/download/tnd/ann.jwebs;jsessionid=B66F02974BB98A66F6B0AB9A6038685C","PQ Announcement_COM-2503004A.pdf"
